package,class,method,permissions,categories
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,getRemoteName,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,getRemoteType,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,getRemoteUuids,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,getScanMode,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,getSimAccessPermission,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,getState,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,getUuids,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,isActivityAndEnergyReportingSupported,android.permission.BLUETOOTH_PRIVILEGED,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,isConnected,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,isDiscovering,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,isEnabled,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,isMultiAdvertisementSupported,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,isOffloadedFilteringSupported,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,isOffloadedScanBatchingSupported,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,removeBond,"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN, android.permission.BLUETOOTH_PRIVILEGED, android.permission.BLUETOOTH_ADMIN, android.permission.BLUETOOTH_ADMIN, android.permission.BLUETOOTH_PRIVILEGED",Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,reportActivityInfo,android.permission.BLUETOOTH_PRIVILEGED,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,requestActivityInfo,android.permission.BLUETOOTH_PRIVILEGED,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,sdpSearch,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,sendConnectionStateChange,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,setDiscoverableTimeout,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,setMessageAccessPermission,android.permission.BLUETOOTH_PRIVILEGED,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,setName,android.permission.BLUETOOTH_ADMIN,Unknown
