package,class,method,permissions,categories
android.speech,SpeechRecognizer,createSpeechRecognizer,android.permission.RECORD_AUDIO,Unknown
android.support.v4.content,ContextCompat,checkSelfPermission,android.permission._PERM_CHECKER_,Unknown
android.support.v4.content,PermissionChecker,checkSelfPermission,android.permission._PERM_CHECKER_,Unknown
android.telecom,TelecomManager,getCallCapablePhoneAccounts,android.permission.READ_PHONE_STATE,Device Identifiers
android.telecom,TelecomManager,getDefaultOutgoingPhoneAccount,android.permission.READ_PHONE_STATE,Device Identifiers
android.telecom,TelecomManager,getLine1Number,android.permission.READ_PHONE_STATE,Device Identifiers
android.telecom,TelecomManager,getVoiceMailNumber,android.permission.READ_PHONE_STATE,Device Identifiers
android.telecom,TelecomManager,isInCall,android.permission.READ_PHONE_STATE,Device Identifiers
android.telecom,TelecomManager,isVoiceMailNumber,android.permission.READ_PHONE_STATE,Device Identifiers
android.telecom,TelecomManager,placeCall,android.permission.CALL_PHONE,Device Identifiers
android.telecom,TelecomManager,showInCallScreen,android.permission.READ_PHONE_STATE,Device Identifiers
android.telephony,CarrierConfigManager,getConfig,android.permission.READ_PHONE_STATE,Device Identifiers
android.telephony,CarrierConfigManager,getConfigForSubId,android.permission.READ_PHONE_STATE,Device Identifiers
android.telephony,PhoneNumberUtils,isVoiceMailNumber,android.permission.READ_PHONE_STATE,Device Identifiers
android.telephony,PhoneStateListener,LISTEN_CALL_FORWARDING_INDICATOR,android.permission.READ_PHONE_STATE,Device Identifiers
android.telephony,PhoneStateListener,LISTEN_CELL_LOCATION,android.permission.ACCESS_COARSE_LOCATION,Unknown
android.telephony,PhoneStateListener,LISTEN_MESSAGE_WAITING_INDICATOR,android.permission.READ_PHONE_STATE,Device Identifiers
android.telephony,PhoneStateListener,LISTEN_SIGNAL_STRENGTH,android.permission.READ_PHONE_STATE,Device Identifiers
android.telephony,PhoneStateListener,LISTEN_SIGNAL_STRENGTHS,android.permission.READ_PHONE_STATE,Device Identifiers
android.telephony,PhoneStateListener,onCallStateChanged,android.permission.READ_PHONE_STATE,Device Identifiers
android.telephony,SmsManager,sendDataMessage,android.permission.SEND_SMS,SMS
android.telephony,SmsManager,sendMultipartTextMessage,android.permission.SEND_SMS,SMS
android.telephony,SmsManager,sendTextMessage,android.permission.SEND_SMS,SMS
android.telephony,SubscriptionManager,addOnSubscriptionsChangedListener,android.permission.READ_PHONE_STATE,Device Identifiers
android.telephony,SubscriptionManager,from,android.permission.READ_PHONE_STATE,Device Identifiers
android.telephony,SubscriptionManager,getActiveSubscriptionInfo,android.permission.READ_PHONE_STATE,Device Identifiers
android.telephony,SubscriptionManager,getActiveSubscriptionInfoCount,android.permission.READ_PHONE_STATE,Device Identifiers
android.telephony,SubscriptionManager,getActiveSubscriptionInfoCountMax,android.permission.READ_PHONE_STATE,Device Identifiers
android.telephony,SubscriptionManager,getActiveSubscriptionInfoForSimSlotIndex,android.permission.READ_PHONE_STATE,Device Identifiers
android.telephony,SubscriptionManager,getActiveSubscriptionInfoList,android.permission.READ_PHONE_STATE,Device Identifiers
android.telephony,SubscriptionManager,isNetworkRoaming,android.permission.READ_PHONE_STATE,Device Identifiers
android.telephony,SubscriptionManager,removeOnSubscriptionsChangedListener,android.permission.READ_PHONE_STATE,Device Identifiers
android.telephony,TelephonyManager,ACTION_PHONE_STATE_CHANGED,android.permission.READ_PHONE_STATE,Device Identifiers
android.telephony,TelephonyManager,getAllCellInfo,android.permission.ACCESS_COARSE_LOCATION,Unknown
android.telephony,TelephonyManager,getCellLocation,"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION","Location, Unknown"
android.telephony,TelephonyManager,getDeviceId,android.permission.READ_PHONE_STATE,Device Identifiers
android.telephony,TelephonyManager,getDeviceSoftwareVersion,android.permission.READ_PHONE_STATE,Device Identifiers
android.telephony,TelephonyManager,getGroupIdLevel1,android.permission.READ_PHONE_STATE,Device Identifiers
android.telephony,TelephonyManager,getLine1Number,"android.permission.READ_PHONE_STATE, android.permission.READ_SMS","Device Identifiers, Unknown"
android.telephony,TelephonyManager,getNeighboringCellInfo,android.permission.ACCESS_COARSE_LOCATION,Unknown
android.telephony,TelephonyManager,getSimSerialNumber,android.permission.READ_PHONE_STATE,Device Identifiers
android.telephony,TelephonyManager,getSubscriberId,android.permission.READ_PHONE_STATE,Device Identifiers
android.telephony,TelephonyManager,getVoiceMailAlphaTag,android.permission.READ_PHONE_STATE,Device Identifiers
android.telephony,TelephonyManager,getVoiceMailNumber,android.permission.READ_PHONE_STATE,Device Identifiers
android.webkit,WebSettings,setGeolocationEnabled,"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION","Location, Unknown"
com.android.internal.telephony,TelephonyIntents,ACTION_ANY_DATA_CONNECTION_STATE_CHANGED,android.permission.READ_PHONE_STATE,Device Identifiers
com.android.internal.telephony,TelephonyIntents,ACTION_DATA_CONNECTION_CONNECTED_TO_PROVISIONING_APN,android.permission.READ_PHONE_STATE,Device Identifiers
com.android.internal.telephony,TelephonyIntents,ACTION_DATA_CONNECTION_FAILED,android.permission.READ_PHONE_STATE,Device Identifiers
com.android.internal.telephony,TelephonyIntents,ACTION_NETWORK_SET_TIME,android.permission.READ_PHONE_STATE,Device Identifiers
com.android.internal.telephony,TelephonyIntents,ACTION_NETWORK_SET_TIMEZONE,android.permission.READ_PHONE_STATE,Device Identifiers
com.android.internal.telephony,TelephonyIntents,ACTION_SERVICE_STATE_CHANGED,android.permission.READ_PHONE_STATE,Device Identifiers
com.android.internal.telephony,TelephonyIntents,ACTION_SIGNAL_STRENGTH_CHANGED,android.permission.READ_PHONE_STATE,Device Identifiers
com.android.internal.telephony,TelephonyIntents,ACTION_SIM_STATE_CHANGED,android.permission.READ_PHONE_STATE,Device Identifiers
com.google.android.gms.location,FusedLocationProviderApi,getLastLocation,"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION","Location, Unknown"
com.google.android.gms.location,FusedLocationProviderApi,getLocationAvailability,"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION","Location, Unknown"
com.google.android.gms.location,FusedLocationProviderApi,requestLocationUpdates,"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION","Location, Unknown"
com.google.android.gms.location,FusedLocationProviderApi,setMockLocation,"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION","Location, Unknown"
com.google.android.gms.location,FusedLocationProviderApi,setMockMode,"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION","Location, Unknown"
com.google.android.gms.maps,GoogleMap,setMyLocationEnabled,"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION","Location, Unknown"
