record_id,category,subcategory,framework,package_name,class_name,method_name,api_name,api_type,permission,sources,source_versions,supported_android_versions,import_timestamp,min_android_api,max_android_api,confidence,documentation_url,deprecated,notes
,Unknown,,Android Framework,android.provider,Telephony$Mms$Sent,CONTENT_URI,CONTENT_URI,field,android.permission.READ_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.provider,Telephony$Mms$Inbox,CONTENT_URI,CONTENT_URI,field,android.permission.READ_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.provider,Telephony$Threads,CONTENT_URI,CONTENT_URI,field,android.permission.READ_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.provider,Telephony$Threads,OBSOLETE_THREADS_URI,OBSOLETE_THREADS_URI,field,android.permission.READ_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.provider,Telephony$Sms,CONTENT_URI,CONTENT_URI,field,android.permission.READ_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.provider,Telephony$Sms$Conversations,CONTENT_URI,CONTENT_URI,field,android.permission.READ_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.provider,Telephony$Sms$Outbox,CONTENT_URI,CONTENT_URI,field,android.permission.READ_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.provider,Telephony$Sms$Draft,CONTENT_URI,CONTENT_URI,field,android.permission.READ_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.provider,Telephony$Sms$Sent,CONTENT_URI,CONTENT_URI,field,android.permission.READ_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.provider,Telephony$Sms$Inbox,CONTENT_URI,CONTENT_URI,field,android.permission.READ_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,SMS,,Android Framework,android.provider,Telephony$Sms$Intents,SMS_RECEIVED_ACTION,SMS_RECEIVED_ACTION,field,android.permission.RECEIVE_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Contacts,,Android Framework,android.provider,ContactsContract$Contacts,lookupContact,lookupContact,method,android.permission.READ_CONTACTS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Contacts,,Android Framework,android.provider,ContactsContract$Contacts,lookupContact,lookupContact,method,android.permission.WRITE_CONTACTS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.media,MediaRecorder,setAudioSource,setAudioSource,method,android.permission.RECORD_AUDIO,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.media,AudioRecord,<init>,<init>,method,android.permission.RECORD_AUDIO,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Device Identifiers,,Android Framework,android.telephony,PhoneStateListener,LISTEN_SIGNAL_STRENGTHS,LISTEN_SIGNAL_STRENGTHS,field,android.permission.READ_PHONE_STATE,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.bluetooth,BluetoothDevice,ACTION_FOUND,ACTION_FOUND,field,android.permission.ACCESS_COARSE_LOCATION,"[""PScout""]","[""API-23""]",[23],2026-07-07T13:53:25.682353+00:00,23,23,high,,False,
,Unknown,,Android Framework,android.content,Intent,ACTION_NEW_OUTGOING_CALL,ACTION_NEW_OUTGOING_CALL,field,android.permission.PROCESS_OUTGOING_CALLS,"[""PScout""]","[""API-23""]",[23],2026-07-07T13:53:25.682353+00:00,23,23,high,,False,
,Unknown,,Android Framework,android.hardware,Sensor,TYPE_HEART_RATE,TYPE_HEART_RATE,field,android.permission.BODY_SENSORS,"[""PScout""]","[""API-23""]",[23],2026-07-07T13:53:25.682353+00:00,23,23,high,,False,
,Location,,Android Framework,android.hardware.location,GeofenceHardware,addGeofence,addGeofence,method,android.permission.ACCESS_FINE_LOCATION,"[""PScout""]","[""API-23""]",[23],2026-07-07T13:53:25.682353+00:00,23,23,high,,False,
,Location,,Android Framework,android.hardware.location,GeofenceHardware,pauseGeofence,pauseGeofence,method,android.permission.ACCESS_FINE_LOCATION,"[""PScout""]","[""API-23""]",[23],2026-07-07T13:53:25.682353+00:00,23,23,high,,False,
,Location,,Android Framework,android.hardware.location,GeofenceHardware,registerForMonitorStateChangeCallback,registerForMonitorStateChangeCallback,method,android.permission.ACCESS_FINE_LOCATION,"[""PScout""]","[""API-23""]",[23],2026-07-07T13:53:25.682353+00:00,23,23,high,,False,
,Location,,Android Framework,android.hardware.location,GeofenceHardware,removeGeofence,removeGeofence,method,android.permission.ACCESS_FINE_LOCATION,"[""PScout""]","[""API-23""]",[23],2026-07-07T13:53:25.682353+00:00,23,23,high,,False,
